      rate         vp        deg        ecc
      0.95       0.00       2.00       0.00
      0.62      30.00       2.00       0.00
      0.60      60.00       2.00       0.00
      0.60      90.00       2.00       0.00
      0.97       0.00       4.00       0.00
      0.65      30.00       4.00       0.00
      0.70      60.00       4.00       0.00
      0.50      90.00       4.00       0.00
      1.00       0.00       8.00       0.00
      0.72      30.00       8.00       0.00
      0.78      60.00       8.00       0.00
      0.72      90.00       8.00       0.00
      1.00       0.00      12.00       0.00
      0.72      30.00      12.00       0.00
      0.85      60.00      12.00       0.00
      0.93      90.00      12.00       0.00
      1.00       0.00      16.00       0.00
      0.78      30.00      16.00       0.00
      0.65      60.00      16.00       0.00
      0.90      90.00      16.00       0.00
      0.97       0.00      20.00       0.00
      0.68      30.00      20.00       0.00
      0.70      60.00      20.00       0.00
      0.95      90.00      20.00       0.00
      1.00       0.00      24.00       0.00
      0.82      30.00      24.00       0.00
      0.80      60.00      24.00       0.00
      0.90      90.00      24.00       0.00
      0.95       0.00       2.00      40.00
      0.35      30.00       2.00      40.00
      0.45      60.00       2.00      40.00
      0.23      90.00       2.00      40.00
      0.97       0.00       4.00      40.00
      0.53      30.00       4.00      40.00
      0.53      60.00       4.00      40.00
      0.45      90.00       4.00      40.00
      0.97       0.00       8.00      40.00
      0.75      30.00       8.00      40.00
      0.65      60.00       8.00      40.00
      0.65      90.00       8.00      40.00
      0.97       0.00      12.00      40.00
      0.75      30.00      12.00      40.00
      0.80      60.00      12.00      40.00
      0.82      90.00      12.00      40.00
      1.00       0.00      16.00      40.00
      0.57      30.00      16.00      40.00
      0.75      60.00      16.00      40.00
      0.68      90.00      16.00      40.00
      0.97       0.00      20.00      40.00
      0.68      30.00      20.00      40.00
      0.82      60.00      20.00      40.00
      0.85      90.00      20.00      40.00
      1.00       0.00      24.00      40.00
      0.78      30.00      24.00      40.00
      0.75      60.00      24.00      40.00
      0.70      90.00      24.00      40.00
